,SITE,DISTRICT,SCHOOL_NUMBER,SCHOOL_NAME,COMPLETERS,GRADE,PCT_FEMALE_(W),PCT_MALE_(W),PCT_FEMALE_(B),PCT_MALE_(B),PCT_FEMALE_(H),PCT_MALE_(H),PCT_FEMALE_(A),PCT_MALE_(A),PCT_FEMALE_(PI),PCT_MALE_(PI),PCT_FEMALE_(NA),PCT_MALE_(NA),PCT_FEMALE_(2+),PCT_MALE_(2+),PCT_FEMALE_(TOT),PCT_MALE_(TOT)
79,BROWARD_1711,BROWARD,1711,DEERFIELD BEACH HIGH SCHOOL,475,12.0,0.08421052631578947,0.10736842105263159,0.21473684210526317,0.25684210526315787,0.13263157894736843,0.12842105263157894,0.02736842105263158,0.023157894736842106,0.0,0.0,0.002105263157894737,0.0,0.018947368421052633,0.004210526315789474,0.48,0.52
80,BROWARD_1741,BROWARD,1741,BOYD H. ANDERSON HIGH SCHOOL,335,12.0,0.005970149253731343,0.008955223880597015,0.5044776119402985,0.4208955223880597,0.023880597014925373,0.011940298507462687,0.005970149253731343,0.0029850746268656717,0.0,0.0029850746268656717,0.0029850746268656717,0.0,0.005970149253731343,0.0029850746268656717,0.5492537313432836,0.4507462686567164
81,BROWARD_1751,BROWARD,1751,MIRAMAR HIGH SCHOOL,512,12.0,0.013671875,0.021484375,0.427734375,0.376953125,0.041015625,0.06640625,0.021484375,0.0234375,0.0,0.001953125,0.0,0.0,0.00390625,0.001953125,0.5078125,0.4921875
83,BROWARD_1901,BROWARD,1901,PIPER HIGH SCHOOL,476,12.0,0.09033613445378151,0.09873949579831932,0.2647058823529412,0.32983193277310924,0.10084033613445378,0.06932773109243698,0.0063025210084033615,0.01680672268907563,0.0,0.0,0.0021008403361344537,0.0,0.01680672268907563,0.004201680672268907,0.4810924369747899,0.5189075630252101
84,BROWARD_1931,BROWARD,1931,COOPER CITY HIGH SCHOOL,488,12.0,0.2725409836065574,0.2766393442622951,0.03278688524590164,0.03278688524590164,0.1680327868852459,0.13319672131147542,0.02459016393442623,0.028688524590163935,0.0,0.0,0.004098360655737705,0.0020491803278688526,0.012295081967213115,0.012295081967213115,0.514344262295082,0.48565573770491804
85,BROWARD_2221,BROWARD,2221,ATLANTIC TECHNICAL COLLEGE,134,12.0,0.08208955223880597,0.1417910447761194,0.19402985074626866,0.11194029850746269,0.1865671641791045,0.20149253731343283,0.022388059701492536,0.03731343283582089,0.007462686567164179,0.0,0.0,0.0,0.007462686567164179,0.007462686567164179,0.5,0.5
86,BROWARD_2351,BROWARD,2351,SOUTH PLANTATION HIGH SCHOOL,441,12.0,0.14965986394557823,0.13378684807256236,0.1746031746031746,0.2018140589569161,0.16099773242630386,0.12698412698412698,0.013605442176870748,0.009070294784580499,0.0,0.0022675736961451248,0.006802721088435374,0.0,0.006802721088435374,0.013605442176870748,0.5124716553287982,0.4875283446712018
87,BROWARD_2751,BROWARD,2751,J. P. TARAVELLA HIGH SCHOOL,611,12.0,0.1702127659574468,0.22585924713584288,0.14566284779050737,0.11456628477905073,0.14238952536824878,0.13911620294599017,0.016366612111292964,0.024549918166939442,0.0016366612111292963,0.0,0.0016366612111292963,0.0,0.014729950900163666,0.0032733224222585926,0.49263502454991814,0.5073649754500819
88,BROWARD_2831,BROWARD,2831,WESTERN HIGH SCHOOL,672,12.0,0.27380952380952384,0.2619047619047619,0.028273809523809524,0.03869047619047619,0.18303571428571427,0.15773809523809523,0.022321428571428572,0.023809523809523808,0.0,0.0,0.001488095238095238,0.0,0.00744047619047619,0.001488095238095238,0.5163690476190477,0.4836309523809524
89,BROWARD_3011,BROWARD,3011,MARJORY STONEMAN DOUGLAS HIGH SCHOOL,639,12.0,0.3145539906103286,0.3161189358372457,0.048513302034428794,0.03912363067292645,0.07981220657276995,0.09076682316118936,0.03442879499217527,0.04381846635367762,0.0,0.0,0.001564945226917058,0.001564945226917058,0.023474178403755867,0.006259780907668232,0.5023474178403756,0.49765258215962443
91,BROWARD_3391,BROWARD,3391,CHARLES W FLANAGAN HIGH SCHOOL,702,12.0,0.08974358974358974,0.08974358974358974,0.15527065527065528,0.16524216524216523,0.2037037037037037,0.20085470085470086,0.017094017094017096,0.039886039886039885,0.0,0.0,0.0014245014245014246,0.0014245014245014246,0.017094017094017096,0.018518518518518517,0.4843304843304843,0.5156695156695157
92,BROWARD_3541,BROWARD,3541,MONARCH HIGH SCHOOL,474,12.0,0.18565400843881857,0.2510548523206751,0.08227848101265822,0.09282700421940929,0.16666666666666666,0.14767932489451477,0.02531645569620253,0.029535864978902954,0.0,0.0,0.0,0.0,0.006329113924050633,0.012658227848101266,0.46624472573839665,0.5337552742616034
93,BROWARD_3623,BROWARD,3623,CYPRESS BAY HIGH SCHOOL,1024,12.0,0.1806640625,0.1728515625,0.0126953125,0.017578125,0.2822265625,0.265625,0.025390625,0.0205078125,0.0,0.0,0.001953125,0.0009765625,0.01171875,0.0078125,0.5146484375,0.4853515625
94,BROWARD_3651,BROWARD,3651,DAVE THOMAS EDUCATION CENTER,86,12.0,0.011627906976744186,0.03488372093023256,0.27906976744186046,0.38372093023255816,0.11627906976744186,0.13953488372093023,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.43023255813953487,0.5697674418604651
95,BROWARD_3731,BROWARD,3731,EVERGLADES HIGH SCHOOL,552,12.0,0.041666666666666664,0.03985507246376811,0.1956521739130435,0.1721014492753623,0.23550724637681159,0.2210144927536232,0.034420289855072464,0.03804347826086957,0.0018115942028985507,0.0,0.0,0.0036231884057971015,0.009057971014492754,0.007246376811594203,0.5181159420289855,0.48188405797101447
96,BROWARD_3851,BROWARD,3851,COLLEGE ACADEMY AT BCC,171,12.0,0.1695906432748538,0.1695906432748538,0.16374269005847952,0.04678362573099415,0.15789473684210525,0.11695906432748537,0.05263157894736842,0.06432748538011696,0.0,0.0,0.0,0.005847953216374269,0.04093567251461988,0.011695906432748537,0.5847953216374269,0.4152046783625731
97,BROWARD_3861,BROWARD,3861,CORAL GLADES HIGH SCHOOL,478,12.0,0.19874476987447698,0.1506276150627615,0.1401673640167364,0.12552301255230125,0.1799163179916318,0.13807531380753138,0.02301255230125523,0.02092050209205021,0.0,0.0,0.006276150627615063,0.0041841004184100415,0.008368200836820083,0.0041841004184100415,0.5564853556485355,0.4435146443514644
98,BROWARD_3971,BROWARD,3971,WEST BROWARD HIGH SCHOOL,598,12.0,0.1688963210702341,0.16722408026755853,0.048494983277591976,0.048494983277591976,0.24414715719063546,0.2491638795986622,0.03177257525083612,0.013377926421404682,0.0,0.0,0.0016722408026755853,0.0,0.015050167224080268,0.011705685618729096,0.5100334448160535,0.4899665551839465
99,BROWARD_5005,BROWARD,5005,BEN GAMLA CHARTER HIGH SCHOOL,13,12.0,0.3076923076923077,0.38461538461538464,0.15384615384615385,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.5384615384615384
100,BROWARD_5006,BROWARD,5006,SOMERSET PREPARATORY ACADEMY CHARTER HIGH AT NORTH LAUDERDALE,31,12.0,0.03225806451612903,0.03225806451612903,0.4838709677419355,0.22580645161290322,0.0967741935483871,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.6451612903225806,0.3548387096774194
101,BROWARD_5007,BROWARD,5007,SOMERSET ACADEMY CHARTER HIGH SCHOOL MIRAMAR CAMPUS,57,12.0,0.017543859649122806,0.03508771929824561,0.40350877192982454,0.2982456140350877,0.10526315789473684,0.10526315789473684,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.5614035087719298,0.43859649122807015
103,BROWARD_5009,BROWARD,5009,MAVERICKS HIGH OF NORTH BROWARD COUNTY,36,12.0,0.05555555555555555,0.08333333333333333,0.25,0.4722222222222222,0.08333333333333333,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.6111111111111112
104,BROWARD_5028,BROWARD,5028,ACADEMIC SOLUTIONS HIGH SCHOOL,13,12.0,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.46153846153846156
